New	York	296
White	House	65
fiscal	year	57
high	school	54
old	man	52
New	England	49
young	man	47
great	deal	43
New	Orleans	40
long	time	39
Civil	War	36
new	members	31
young	men	29
small	business	28
dominant	stress	28
real	estate	27
Supreme	Court	27
foreign	policy	27
good	deal	27
recent	years	25
large	number	25
American	people	22
human	beings	22
nuclear	weapons	21
front	door	20
General	Assembly	19
New	Jersey	19
High	School	18
personal	property	17
higher	education	17
West	Berlin	17
big	man	17
East	Greenwich	17
international	law	17
human	life	17
new	birth	17
vocational	education	17
private	detective	17
basic	wage	17
electronic	switches	17
nuclear	war	16
cold	war	16
short	time	16
public	interest	16
blue	eyes	16
National	Forest	16
pulmonary	artery	16
sweet	clover	16
minimal	polynomial	16
public	education	15
high	schools	15
free	world	15
economic	development	15
common	sense	15
interior	design	15
bronchial	artery	15
optimal	policy	15
New	Testament	14
anti-trust	laws	14
Vice	President	14
Old	Man	14
economic	integration	14
private	eye	14
fiscal	years	14
Export-Import	Bank	14
electronic	switch	14
social	security	13
young	people	13
Latin	America	13
general	public	13
large	part	13
old	woman	13
human	race	13
early	years	13
National	Forests	13
prime	minister	13
nonspecific	staining	13
Superior	Court	12
right	hand	12
wide	variety	12
Long	Island	12
new	ones	12
whole	world	12
good	will	12
social	life	12
middle	class	12
straight	line	12
Red	River	12
hot	water	12
Small	Business	12
general	business	12
local	board	12
hypothalamic	balance	12
Utopian	communism	12
Big	Hans	12
Southeast	Asia	11
left	hand	11
National	Park	11
Christian	faith	11
young	woman	11
Great	Britain	11
far	end	11
long	way	11
fat	man	11
South	America	11
human	nature	11
social	system	11
Gross	Income	11
federal	courts	11
objective	function	11
Blue	Throat	11
federal	government	10
free	nations	10
recent	months	10
East	Germany	10
early	days	10
white	people	10
Southern	California	10
North	Carolina	10
local	governments	10
East	Berlin	10
American	history	10
Little	Rock	10
New	Hampshire	10
old	days	10
such	things	10
Middle	Ages	10
Main	Street	10
red	wine	10
unwed	mothers	10
black	hair	10
short	period	10
Internal	Revenue	10
Economic	Affairs	10
strong	stress	10
Daily	Journal	10
public	schools	9
vocational	rehabilitation	9
economic	aid	9
civil	defense	9
Middle	East	9
American	League	9
collective	bargaining	9
foreign	aid	9
important	thing	9
large	numbers	9
Western	world	9
good	reason	9
long	periods	9
outer	space	9
American	life	9
modern	world	9
good	time	9
ballistic	missile	9
good	thing	9
long	period	9
real	life	9
better	understanding	9
late	afternoon	9
social	sciences	9
liberal	education	9
movable	property	9
Advisory	Board	9
linear	operator	9
Kohnstamm-positive	subjects	9
Poor	John	9
grand	jury	8
public	relations	8
public	utility	8
later	years	8
new	industry	8
foreign	countries	8
good	job	8
such	thing	8
South	Africa	8
small	children	8
West	Germany	8
new	product	8
Interstate	Commerce	8
New	Mexico	8
Fine	Arts	8
American	politics	8
financial	support	8
near	future	8
own	words	8
real	sense	8
national	security	8
special	interest	8
national	interest	8
social	science	8
National	Association	8
good	man	8
early	morning	8
vocational	training	8
Cold	War	8
wishful	thinking	8
Christian	unity	8
dark	eyes	8
peaceful	coexistence	8
present	time	8
Roman	Catholics	8
good	health	8
Junior	Showmanship	8
old	friend	8
small	firms	8
whole	thing	8
oral	tradition	8
ecumenical	movement	8
major	denominations	8
white	man	8
moral	law	8
financial	assistance	8
state-owned	vehicles	8
such	claim	8
unadjusted	allotment	8
Federal	share	8
null	space	8
random	variable	8
tangent	point	8
tangent	points	8
Kohnstamm-negative	subjects	8
unstructured	schools	8
total	costs	8
submarine	defense	8
front	room	8
large	cities	7
fair	trial	7
medical	care	7
medical	research	7
South	Viet	7
Federal	Bureau	7
West	Coast	7
opposite	side	7
right	side	7
New	York's	7
high	speed	7
Catholic	Church	7
Junior	Achievement	7
raw	sewage	7
spare	time	7
Federal	Reserve	7
rural	areas	7
social	status	7
private	enterprise	7
New	Year's	7
South	Carolina	7
Western	Europe	7
free	society	7
industrial	development	7
mental	health	7
human	being	7
Old	Testament	7
own	work	7
best	interests	7
East	River	7
human	body	7
natural	law	7
own	country	7
New	Yorker	7
new	world	7
North	America	7
middle	number	7
local	church	7
human	action	7
such	men	7
common	man	7
Junior	Classes	7
short	distance	7
bacterial	diarrhea	7
interior	designer	7
good	luck	7
local	school	7
economic	pressure	7
Old	South	7
Federal	Government	7
Federal	Constitution	7
symbolic	name	7
Atlantic	community	7
English	lady	7
Industrial	Division	7
saline	water	7
such	payments	7
Medical	Illustration	7
Yugoslav	Claims	7
particular	State's	7
due	process	7
molecular	weight	7
negative	pressure	7
liquid	phase	7
incident	light	7
anionic	binding	7
standard	deviation	7
lower	portion	7
primary	decomposition	7
binomial	experiment	7
singular	lines	7
annual	rate	7
marginal	costs	7
left	side	7
Daily	Post	7
Great	Expectations	7
open	door	7
front	seat	7
Gray	Eyes	7
North	Atlantic	6
East	Providence	6
North	Providence	6
10-year	period	6
Democratic	party	6
National	Defense	6
special	session	6
elementary	schools	6
religious	life	6
